customer_id,question,day,create_dt
CUSTOMER000000024525,술,3,2024-02-13 21:57:32.922
CUSTOMER000000024525,아이,3,2024-02-13 21:59:11.428
CUSTOMER000000024526,아이와 함께할 수 있는,4,2024-02-13 22:23:14.659
CUSTOMER000000022024,친구들,4,2024-02-13 23:31:42.394
CUSTOMER000000024527,혼자여행,3,2024-02-14 01:38:45.771
CUSTOMER000000024528,아이와함께,4,2024-02-14 01:55:21.858
CUSTOMER000000024534,,3,2024-02-14 13:00:56.078
CUSTOMER000000024535,,1,2024-02-14 13:06:39.12
CUSTOMER000000024535,,1,2024-02-14 13:06:58.194
CUSTOMER000000024535,,9,2024-02-14 13:08:03.32
CUSTOMER000000024536,,2,2024-02-14 14:43:44.922
CUSTOMER000000024537,7세아이와함께,3,2024-02-14 15:30:15.69
CUSTOMER000000024539,힐링,5,2024-02-14 16:57:11.115
CUSTOMER000000024539,가족힐링,5,2024-02-14 16:59:23.94
CUSTOMER000000024539,,5,2024-02-14 17:00:33.613
CUSTOMER000000024540,커플여행,4,2024-02-14 17:09:48.208
CUSTOMER000000024541,힐링,4,2024-02-14 17:37:21.177
CUSTOMER000000024542,가족과 함께하는,4,2024-02-14 19:43:34.819
CUSTOMER000000024543,5,5,2024-02-14 20:27:20.205
CUSTOMER000000024543,6,5,2024-02-14 20:27:33.414
CUSTOMER000000024543,6,6,2024-02-14 20:27:46.084
CUSTOMER000000024546,엄마와 함께하는,6,2024-02-14 23:24:48.799
CUSTOMER000000024546,엄마와 함께할수있는,3,2024-02-14 23:27:49.691
CUSTOMER000000024547,아이랑,4,2024-02-15 00:05:41.391
CUSTOMER000000024547,35개월 아이랑 아쿠아리움,4,2024-02-15 00:12:05.295
CUSTOMER000000024548,가족과 함께 할 수 있는,4,2024-02-15 00:28:17.282
CUSTOMER000000024548,가족과 함께 할 수 있는,4,2024-02-15 00:30:24.438
CUSTOMER000000024548,애월에서 가족과 함께 할 수 있는,1,2024-02-15 00:32:55.479
CUSTOMER000000024079,,4,2024-02-15 05:20:50.584
CUSTOMER000000024551,안나랑,3,2024-02-15 07:20:34.605
CUSTOMER000000024552,,1,2024-02-15 07:34:21.917
CUSTOMER000000024553,9,1,2024-02-15 10:47:16.693
CUSTOMER000000024554,,2,2024-02-15 11:13:41.073
CUSTOMER000000024554,,2,2024-02-15 11:16:25.525
CUSTOMER000000024554,,2,2024-02-15 11:18:03.918
CUSTOMER000000024561,,2,2024-02-15 13:45:01.968
CUSTOMER000000024563,처가집 식구들과,3,2024-02-15 14:33:18.007
CUSTOMER000000024565,,3,2024-02-15 14:47:49.206
CUSTOMER000000024566,아이와 함께,3,2024-02-15 15:05:10.527
CUSTOMER000000024569,부모님 모시고 갈만한,5,2024-02-15 17:58:28.93
CUSTOMER000000024569,부모님 모시고 갈만한,5,2024-02-15 17:59:21.949
CUSTOMER000000024572,엄마와함께,4,2024-02-15 18:16:21.855
CUSTOMER000000024569,ㅎㅇ,3,2024-02-15 18:53:34.646
CUSTOMER000000024529,곤충관련,4,2024-02-15 19:48:59.642
CUSTOMER000000024575,,4,2024-02-15 19:56:26.096
CUSTOMER000000024575,아이들이 좋아하는 ,4,2024-02-15 19:57:11.384
CUSTOMER000000024415,힐링과 전시회 카페,4,2024-02-15 20:16:09.214
CUSTOMER000000024576,,3,2024-02-15 20:36:37.954
CUSTOMER000000024578,,3,2024-02-15 21:21:24.172
CUSTOMER000000024581,연인과 함께하는,4,2024-02-15 22:49:52.492
CUSTOMER000000024582,연인과 함께하는,4,2024-02-15 22:56:31.59
CUSTOMER000000024583,강아지,3,2024-02-15 22:58:23.288
CUSTOMER000000024586,,4,2024-02-15 23:47:18.51
CUSTOMER000000024587,가족,4,2024-02-15 23:55:02.612
CUSTOMER000000024588,연인과,2,2024-02-16 00:19:44.876
CUSTOMER000000024590,여자 혼자 힐링,6,2024-02-16 02:10:04.125
CUSTOMER000000024590,40대 여자 혼자 힐링 낮잠,6,2024-02-16 02:12:30.387
CUSTOMER000000024590,40대 여자 혼자 힐링 낮잠 자동차없음,6,2024-02-16 02:13:54.989
CUSTOMER000000024591,,4,2024-02-16 07:51:16.902
CUSTOMER000000024591,승마.애월코스제외,4,2024-02-16 07:52:21.419
CUSTOMER000000024591,승마.애월지역제외.커플여행,4,2024-02-16 07:53:11.478
CUSTOMER000000024593,,3,2024-02-16 09:26:14.71
CUSTOMER000000024594,친구랑,3,2024-02-16 09:49:52.729
CUSTOMER000000024597,,3,2024-02-16 11:58:32.914
CUSTOMER000000024597,한라산 등반 포함 코스,3,2024-02-16 11:59:03.219
CUSTOMER000000024597,한라산 등반 포함 차없는 코스,3,2024-02-16 12:00:52.135
CUSTOMER000000024600,,4,2024-02-16 12:38:30.759
CUSTOMER000000024600,갖ㅡㄱ,4,2024-02-16 12:45:13.783
CUSTOMER000000024602,부ㅁㅡ,3,2024-02-16 13:45:59.531
CUSTOMER000000024608,부부,3,2024-02-16 16:27:28.179
CUSTOMER000000024613,임산부가  갈 수 있는,4,2024-02-16 20:02:24.084
CUSTOMER000000024614,,4,2024-02-16 20:16:14.578
CUSTOMER000000024616,혼자 즐길 수 있는,4,2024-02-16 21:40:40.511
CUSTOMER000000024616,1일차에 서귀포 2일차에 애월 3일차에 제주시 4일차에 제주공항 근처로,4,2024-02-16 21:41:34.809
CUSTOMER000000024616,1일차에 서귀포 2일차에 애월 3일차에 제주시 4일차에 제주공항 근처로,4,2024-02-16 21:42:13.62
CUSTOMER000000024618,,3,2024-02-16 21:55:40.878
CUSTOMER000000024619,,3,2024-02-16 22:48:44.94
CUSTOMER000000024623,아이와 가족동반,4,2024-02-16 23:32:52.882
CUSTOMER000000024625,가족,3,2024-02-17 00:35:15.676
CUSTOMER000000024625,뚜벅,3,2024-02-17 00:35:42.967
CUSTOMER000000024626,아이와 함께,3,2024-02-17 02:22:01.721
CUSTOMER000000024626,신화월드와 켄싱턴리조트 중문에서 각각 아이와 1박,3,2024-02-17 02:25:50.634
CUSTOMER000000024626,아이와 함께 신화월드에서 1박 후 켄싱턴리조트 중문에서 1박할 예정이고 아쿠아 플라넷은 꼭 가고 싶어,3,2024-02-17 02:27:36.85
CUSTOMER000000024627,부모님이랑 함께,4,2024-02-17 03:41:30.935
CUSTOMER000000024554,,1,2024-02-18 08:26:24.005
CUSTOMER000000024554,ㅅㅣ귚ㅡ,1,2024-02-18 08:26:56.684
CUSTOMER000000024627,,4,2024-02-17 03:46:34.9
CUSTOMER000000024627,,4,2024-02-17 03:47:57.119
CUSTOMER000000024628,아이,5,2024-02-17 05:41:19.36
CUSTOMER000000024629,남편과,2,2024-02-17 06:17:54.713
CUSTOMER000000024554,,2,2024-02-17 08:08:36.999
CUSTOMER000000024554,,2,2024-02-17 08:10:00.176
CUSTOMER000000024554,,2,2024-02-17 08:11:05.689
CUSTOMER000000024631,가족과 힐링하는,4,2024-02-17 09:50:56.337
CUSTOMER000000024631,엄마와 힐링하는,4,2024-02-17 09:51:18.785
CUSTOMER000000024632,맛집탐방,4,2024-02-17 10:19:23.65
CUSTOMER000000024640,,9,2024-02-17 14:59:50.846
CUSTOMER000000024616,1일차에는 서귀포 2일차에는 애월 3일차에는 제주시 4일차에는 제주공한 근처로 혼자서 여행할,4,2024-02-17 15:46:45.684
CUSTOMER000000024643,여자친구와 데이트 코스,4,2024-02-17 15:56:54.849
CUSTOMER000000024415,해변관광1번,오름1번,카페2번,주제가 다른 전시회2개,체험2개,힐링,4,2024-02-17 17:23:58.126
CUSTOMER000000024415,전체일정중 해변관광1번,오름1번,카페2번,주제가 다른 전시회2개,체험2개,힐링,4,2024-02-17 17:25:23.532
CUSTOMER000000024646,,3,2024-02-17 17:41:33.378
CUSTOMER000000024646,,3,2024-02-17 17:43:11.36
CUSTOMER000000024646,배우자,3,2024-02-17 17:44:07.557
CUSTOMER000000024648,친구랑 떠나는 여행,8,2024-02-17 19:07:13.572
CUSTOMER000000024649,애인과 함께하는,4,2024-02-17 19:53:20.367
CUSTOMER000000024651,애인과 함께할수있는,4,2024-02-17 19:58:30.337
CUSTOMER000000024652,실내,2,2024-02-17 20:19:57.385
CUSTOMER000000024653,,4,2024-02-17 21:16:28.266
CUSTOMER000000024653,,4,2024-02-17 21:16:54.226
CUSTOMER000000024654,아이들 함께 ,4,2024-02-17 21:41:48.811
CUSTOMER000000024655,,3,2024-02-17 21:42:01.357
CUSTOMER000000024656,부모님과아이들,4,2024-02-17 21:47:40.901
CUSTOMER000000024659,,4,2024-02-17 22:16:57.988
CUSTOMER000000024659,,4,2024-02-17 22:21:06.014
CUSTOMER000000024659,비,4,2024-02-17 22:21:49.53
CUSTOMER000000024663,,4,2024-02-17 23:57:16.382
CUSTOMER000000024627,부모님이랑,4,2024-02-18 03:59:15.11
CUSTOMER000000024627,우도  포함하는,4,2024-02-18 04:01:12.451
